,Mobile_Name,User_Rating,Mobile_Price,Total_Ratings_Reviews,Spec_Ram_Rom,Spec_Display,Spec_Camera
0,"Redmi Note 4 (Dark Grey, 64 GB)",4.4 ★,"₹10,999","1,201,542 Ratings & 213,453 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,5.5 inch Full HD Display,13MP Rear Camera | 5MP Front Camera
1,"Apple iPhone SE (Space Grey, 32 GB)",4.4 ★,"₹17,975","34,436 Ratings & 5,517 Reviews",32 GB ROM |,4 inch Retina Display,12MP Rear Camera | 1.2MP Front Camera
2,"Redmi Note 5 Pro (Blue, 64 GB)",4.5 ★,"₹14,999","331,061 Ratings & 47,820 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 128 GB,5.99 inch Full HD+ Display,12MP + 5MP Dual Rear Camera | 20MP Front Camera
3,"Honor 9 Lite (Midnight Black, 32 GB)",4.3 ★,"₹10,999","281,348 Ratings & 50,226 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5.65 inch FHD+ Display,13MP + 2MP Dual Rear Camera | 13MP + 2MP Dual Front Camera
4,"Honor 9 Lite (Glacier Grey, 64 GB)",4.3 ★,"₹14,999","52,666 Ratings & 9,278 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5.65 inch FHD+ Display,13MP + 2MP Dual Rear Camera | 13MP + 2MP Dual Front Camera
5,"Honor 9 Lite (Sapphire Blue, 32 GB)",4.3 ★,"₹10,999","281,348 Ratings & 50,226 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5.65 inch FHD+ Display,13MP + 2MP Dual Rear Camera | 13MP + 2MP Dual Front Camera
6,"Honor 9 Lite (Sapphire Blue, 64 GB)",4.3 ★,"₹14,999","52,666 Ratings & 9,278 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5.65 inch FHD+ Display,13MP + 2MP Dual Rear Camera | 13MP + 2MP Dual Front Camera
7,"Honor 9 Lite (Glacier Grey, 32 GB)",4.3 ★,"₹10,999","281,348 Ratings & 50,226 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,5.65 inch FHD+ Display,13MP + 2MP Dual Rear Camera | 13MP + 2MP Dual Front Camera
8,"Honor 9 Lite (Midnight Black, 64 GB)",4.3 ★,"₹14,999","52,666 Ratings & 9,278 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,5.65 inch FHD+ Display,13MP + 2MP Dual Rear Camera | 13MP + 2MP Dual Front Camera
9,"Asus Zenfone Max Pro M1 (Black, 64 GB)",4.3 ★,"₹12,999","42,043 Ratings & 9,686 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB,5.99 inch Full HD+ Display,13MP + 5MP Dual Rear Camera | 8MP Front Camera
